0.036000 	0.000484 	0.001216 	-0.000528 	-0.000656 	-0.000129 	-0.000712 	-0.001460 	0.000962 	-0.000968 	0.001304 	996.300000 	
0.037000 	0.000474 	0.001255 	-0.000531 	-0.000662 	-0.000171 	-0.000740 	-0.001505 	0.001013 	-0.001013 	0.001370 	996.300000 	
0.038000 	0.000463 	0.001316 	-0.000546 	-0.000679 	-0.000214 	-0.000762 	-0.001538 	0.001068 	-0.001064 	0.001442 	996.300000 	
0.039000 	0.000448 	0.001379 	-0.000553 	-0.000691 	-0.000258 	-0.000795 	-0.001569 	0.001118 	-0.001117 	0.001523 	996.300000 	
0.040000 	0.000426 	0.001445 	-0.000560 	-0.000698 	-0.000304 	-0.000820 	-0.001593 	0.001154 	-0.001169 	0.001607 	996.300000 	
0.041000 	0.000393 	0.001508 	-0.000573 	-0.000700 	-0.000341 	-0.000836 	-0.001607 	0.001188 	-0.001225 	0.001691 	996.300000 	
0.042000 	0.000358 	0.001590 	-0.000585 	-0.000704 	-0.000366 	-0.000852 	-0.001639 	0.001201 	-0.001264 	0.001780 	996.300000 	
0.043000 	0.000319 	0.001660 	-0.000589 	-0.000699 	-0.000398 	-0.000862 	-0.001658 	0.001208 	-0.001294 	0.001855 	996.300000 	
0.044000 	0.000285 	0.001713 	-0.000597 	-0.000698 	-0.000433 	-0.000863 	-0.001660 	0.001215 	-0.001320 	0.001922 	996.300000 	
0.045000 	0.000247 	0.001782 	-0.000609 	-0.000691 	-0.000458 	-0.000873 	-0.001669 	0.001222 	-0.001355 	0.001995 	996.300000 	
0.046000 	0.000220 	0.001848 	-0.000619 	-0.000684 	-0.000491 	-0.000893 	-0.001676 	0.001240 	-0.001397 	0.002065 	996.300000 	
0.047000 	0.000194 	0.001929 	-0.000632 	-0.000688 	-0.000512 	-0.000912 	-0.001688 	0.001253 	-0.001447 	0.002141 	996.300000 	
0.048000 	0.000169 	0.002011 	-0.000652 	-0.000691 	-0.000540 	-0.000923 	-0.001694 	0.001271 	-0.001504 	0.002218 	996.300000 	
0.049000 	0.000142 	0.002088 	-0.000666 	-0.000688 	-0.000574 	-0.000934 	-0.001687 	0.001284 	-0.001556 	0.002288 	996.300000 	
0.050000 	0.000110 	0.002161 	-0.000677 	-0.000687 	-0.000605 	-0.000945 	-0.001675 	0.001300 	-0.001606 	0.002355 	996.300000 	
0.051000 	0.000077 	0.002245 	-0.000698 	-0.000685 	-0.000634 	-0.000958 	-0.001660 	0.001323 	-0.001663 	0.002424 	996.300000 	
0.052000 	0.000047 	0.002358 	-0.000732 	-0.000687 	-0.000652 	-0.000979 	-0.001650 	0.001352 	-0.001730 	0.002499 	996.300000 	
0.053000 	0.000024 	0.002455 	-0.000758 	-0.000690 	-0.000670 	-0.001000 	-0.001638 	0.001377 	-0.001807 	0.002573 	996.300000 	
0.054000 	-0.000002 	0.002549 	-0.000791 	-0.000685 	-0.000677 	-0.001022 	-0.001623 	0.001389 	-0.001879 	0.002654 	996.300000 	
