8147.520186 	1518.287429 	1074.897925 	2078.190576 	3373.165928 	5226.358138 	3244.595449 	5364.517636 	5441.601316 	3887.829449 	5127.117604 	4178.738982 	4325.652562 	3301.615199 	2209.420299 	2699.595540 	3620.685739 	5349.865322 	5137.758627 	6801.250789 	710.102668 	2616.840175 	4006.944208 	6401.654425 	2111.530935 	6419.804239 	3624.458657 	4000.000000	
8147.490352 	1518.297076 	1074.890077 	2078.196989 	3373.168357 	5226.366086 	3244.566546 	5364.520745 	5441.634259 	3887.835327 	5127.105622 	4178.743608 	4325.651716 	3301.643375 	2209.419683 	2699.606980 	3620.685409 	5349.897326 	5137.745875 	6801.253756 	710.109985 	2616.836875 	4006.942075 	6401.651604 	2111.478449 	6419.801952 	3624.459895 	4000.000000	
8147.441945 	1518.334257 	1074.923781 	2078.236337 	3373.171139 	5226.378832 	3244.534311 	5364.514191 	5441.694846 	3887.863352 	5127.079906 	4178.714231 	4325.671998 	3301.707610 	2209.409917 	2699.618439 	3620.687766 	5349.916736 	5137.669493 	6801.242636 	710.139679 	2616.845371 	4006.892003 	6401.648887 	2111.385426 	6419.819363 	3624.457549 	4000.000000	
8147.399085 	1518.383057 	1075.004826 	2078.302664 	3373.173295 	5226.403053 	3244.509406 	5364.531750 	5441.706196 	3887.902576 	5127.039309 	4178.672142 	4325.733485 	3301.730402 	2209.405894 	2699.613340 	3620.700661 	5349.906042 	5137.525866 	6801.249274 	710.155546 	2616.848983 	4006.774217 	6401.705928 	2111.305186 	6419.878450 	3624.439368 	4000.000000	
8147.380675 	1518.416077 	1075.053735 	2078.386505 	3373.197511 	5226.471429 	3244.467875 	5364.591485 	5441.679163 	3887.916866 	5126.974667 	4178.666104 	4325.830016 	3301.690655 	2209.404642 	2699.600368 	3620.728458 	5349.962484 	5137.365111 	6801.273518 	710.135984 	2616.856618 	4006.630212 	6401.778501 	2111.191603 	6419.916440 	3624.433295 	4000.000000	
8147.392663 	1518.440187 	1075.089271 	2078.451454 	3373.203882 	5226.539742 	3244.387487 	5364.628252 	5441.644321 	3887.868174 	5126.902540 	4178.757406 	4325.913510 	3301.679066 	2209.402908 	2699.581590 	3620.775883 	5350.072901 	5137.208160 	6801.301875 	710.126358 	2616.899074 	4006.479526 	6401.866264 	2111.022889 	6419.917978 	3624.446638 	4000.000000	
8147.391402 	1518.465343 	1075.118668 	2078.491716 	3373.166138 	5226.565144 	3244.277330 	5364.651736 	5441.610588 	3887.769597 	5126.830913 	4178.924053 	4325.940236 	3301.703924 	2209.407402 	2699.561489 	3620.828312 	5350.178916 	5137.077338 	6801.353479 	710.136160 	2616.958897 	4006.347436 	6402.016697 	2110.842983 	6419.928758 	3624.455344 	4000.000000	
8147.349946 	1518.496719 	1075.147519 	2078.525889 	3373.135111 	5226.612932 	3244.151483 	5364.689859 	5441.586098 	3887.708419 	5126.780979 	4179.052034 	4325.946840 	3301.709053 	2209.418136 	2699.547143 	3620.868243 	5350.260447 	5137.010448 	6801.399831 	710.136750 	2616.972994 	4006.240488 	6402.151241 	2110.701156 	6419.934747 	3624.465495 	4000.000000	
8147.294104 	1518.524968 	1075.202673 	2078.522246 	3373.145233 	5226.701031 	3244.016102 	5364.742622 	5441.557825 	3887.700176 	5126.786425 	4179.174233 	4325.987593 	3301.658333 	2209.418597 	2699.528238 	3620.885173 	5350.307014 	5137.005156 	6801.481207 	710.122248 	2616.899983 	4006.159407 	6402.220666 	2110.584526 	6419.907561 	3624.466659 	4000.000000	
8147.266853 	1518.541873 	1075.254549 	2078.506935 	3373.202097 	5226.795806 	3243.884661 	5364.793341 	5441.554411 	3887.677160 	5126.859964 	4179.303481 	4326.072337 	3301.568173 	2209.395476 	2699.512135 	3620.899536 	5350.331959 	5136.980380 	6801.640070 	710.083835 	2616.784830 	4006.072497 	6402.247533 	2110.426937 	6419.884555 	3624.458615 	4000.000000	
8147.282949 	1518.557049 	1075.279400 	2078.501783 	3373.267021 	5226.860010 	3243.766219 	5364.829148 	5441.556687 	3887.638754 	5126.956999 	4179.402943 	4326.150508 	3301.458048 	2209.370693 	2699.499569 	3620.919555 	5350.329104 	5136.957578 	6801.848364 	710.009548 	2616.678374 	4005.960388 	6402.276622 	2110.297938 	6419.876841 	3624.467907 	4000.000000	
8147.313373 	1518.548215 	1075.304050 	2078.507719 	3373.296620 	5226.875011 	3243.683402 	5364.877303 	5441.575063 	3887.613720 	5127.023893 	4179.455957 	4326.193474 	3301.383045 	2209.342476 	2699.490492 	3620.931278 	5350.324218 	5136.933162 	6802.003335 	709.937009 	2616.579321 	4005.851513 	6402.329191 	2110.255066 	6419.885504 	3624.486590 	4000.000000	
8147.342037 	1518.524496 	1075.306801 	2078.516113 	3373.297235 	5226.871226 	3243.606739 	5364.906549 	5441.620725 	3887.612902 	5127.029740 	4179.518393 	4326.230549 	3301.375513 	2209.311152 	2699.497581 	3620.954306 	5350.338363 	5136.872742 	6802.044186 	709.896476 	2616.490518 	4005.769447 	6402.388868 	2110.218360 	6419.933004 	3624.525980 	4000.000000	
8147.367487 	1518.500747 	1075.277064 	2078.490418 	3373.317453 	5226.866940 	3243.521646 	5364.893703 	5441.641887 	3887.606731 	5126.988580 	4179.611247 	4326.214861 	3301.367270 	2209.289791 	2699.495289 	3620.968188 	5350.353107 	5136.867646 	6802.036657 	709.881197 	2616.450912 	4005.751216 	6402.424134 	2110.196915 	6420.000176 	3624.618737 	4000.000000	
